RamanShift,CaZn4
49.85,-2.70E-05
50.81,-5.76E-06
51.78,1.44E-05
52.74,3.23E-05
53.71,6.10E-05
54.67,0.000114639
55.64,0.000218567
56.6,0.000313193
57.56,0.00039817
58.53,0.000470237
59.49,0.00052476
60.46,0.000539029
61.42,0.000541207
62.38,0.000524437
63.35,0.000493866
64.31,0.000470845
65.28,0.000495601
66.24,0.000542553
67.21,0.000604373
68.17,0.000675051
69.13,0.000754995
70.1,0.000836543
71.06,0.000917087
72.03,0.000987206
72.99,0.001033072
73.96,0.001042861
74.92,0.001052708
75.88,0.001051497
76.85,0.001042503
77.81,0.00104582
78.78,0.001079241
79.74,0.001118024
80.71,0.001165265
81.67,0.00122017
82.63,0.001265575
83.6,0.001274197
84.56,0.001266419
85.53,0.0012556
86.49,0.001252579
87.45,0.001273853
88.42,0.001333193
89.38,0.001419852
90.35,0.001514689
91.31,0.001584485
92.28,0.001620843
93.24,0.00163459
94.2,0.001618777
95.17,0.001578932
96.13,0.001546253
97.1,0.00150683
98.06,0.001478023
99.03,0.001464317
99.99,0.001466319
100.95,0.001487427
101.92,0.001552457
102.88,0.001632445
103.85,0.001713206
104.81,0.001783548
105.78,0.001833356
106.74,0.001849401
107.7,0.001834449
108.67,0.001793756
109.63,0.001738619
110.6,0.001660053
111.56,0.001615525
112.52,0.001624132
113.49,0.001683752
114.45,0.001731595
115.42,0.001754363
116.38,0.001767096
117.35,0.001775417
118.31,0.001782348
119.27,0.001783941
120.24,0.001785627
121.2,0.001796267
122.17,0.001819557
123.13,0.001852295
124.1,0.001871376
125.06,0.001861676
126.02,0.001831499
126.99,0.001793428
127.95,0.001767296
128.92,0.00176369
129.88,0.001756605
130.85,0.001736571
131.81,0.001705816
132.77,0.001693044
133.74,0.001718666
134.7,0.001749905
135.67,0.001784074
136.63,0.001819378
137.59,0.001837077
138.56,0.001837722
139.52,0.001828228
140.49,0.001807181
141.45,0.001771693
142.42,0.001731027
143.38,0.001689327
144.34,0.001644681
145.31,0.001600971
146.27,0.001563831
147.24,0.001554151
148.2,0.001565886
149.17,0.001595643
150.13,0.001634611
151.09,0.001667246
152.06,0.001690038
153.02,0.001700524
153.99,0.001698089
154.95,0.001684938
155.92,0.001669555
156.88,0.001641149
157.84,0.00161123
158.81,0.00158741
159.77,0.00157271
160.74,0.001569659
161.7,0.001573173
162.66,0.001572599
163.63,0.001562077
164.59,0.001536364
165.56,0.001507363
166.52,0.001502353
167.49,0.001519623
168.45,0.001549917
169.41,0.001578463
170.38,0.00159134
171.34,0.001582127
172.31,0.001557637
173.27,0.001525814
174.24,0.001502043
175.2,0.001489951
176.16,0.001486326
177.13,0.001484045
178.09,0.00147685
179.06,0.001464871
180.02,0.001468492
180.99,0.001486057
181.95,0.001509081
182.91,0.001527579
183.88,0.001531997
184.84,0.001516892
185.81,0.001501457
186.77,0.001495241
187.74,0.001503676
188.7,0.00151776
189.66,0.001518502
190.63,0.001505663
191.59,0.001485499
192.56,0.001468369
193.52,0.001474047
194.48,0.001494492
195.45,0.001498494
196.41,0.001482746
197.38,0.001456853
198.34,0.001451907
199.31,0.001474997
200.27,0.001505519
201.23,0.001537276
202.2,0.001562974
203.16,0.001578479
204.13,0.001587557
205.09,0.001601264
206.06,0.0016276
207.02,0.001662756
207.98,0.001679777
208.95,0.001654806
209.91,0.001640053
210.88,0.00165691
211.84,0.001709862
212.81,0.001751419
213.77,0.001752586
214.73,0.001748473
215.7,0.00175458
216.66,0.001779232
217.63,0.001813622
218.59,0.001845065
219.55,0.001869344
220.52,0.001884299
221.48,0.001890543
222.45,0.001888158
223.41,0.001888743
224.38,0.00188488
225.34,0.001878478
226.3,0.001876298
227.27,0.001911107
228.23,0.001946112
229.2,0.001972455
230.16,0.001997725
231.13,0.002038289
232.09,0.002093041
233.05,0.002128489
234.02,0.002140846
234.98,0.002130573
235.95,0.002107015
236.91,0.002090063
237.88,0.002097012
238.84,0.002117135
239.8,0.002145924
240.77,0.002179966
241.73,0.002221585
242.7,0.002273677
243.66,0.002327384
244.62,0.002371496
245.59,0.002399634
246.55,0.002412504
247.52,0.002429342
248.48,0.002446097
249.45,0.002460436
250.41,0.002472017
251.37,0.002490176
252.34,0.002508509
253.3,0.002532104
254.27,0.002568013
255.23,0.002614843
256.2,0.002647281
257.16,0.002640235
258.12,0.002616484
259.09,0.002603469
260.05,0.002623327
261.02,0.002692246
261.98,0.002761655
262.95,0.002806433
263.91,0.002820157
264.87,0.002805333
265.84,0.002761598
266.8,0.002734397
267.77,0.002735923
268.73,0.002754692
269.69,0.002772051
270.66,0.002776294
271.62,0.002799586
272.59,0.00284253
273.55,0.002890147
274.52,0.002924685
275.48,0.002932008
276.44,0.002899598
277.41,0.002839241
278.37,0.002781034
279.34,0.002753177
280.3,0.002790182
281.27,0.002851046
282.23,0.002923286
283.19,0.002997736
284.16,0.003060207
285.12,0.003060706
286.09,0.003032274
287.05,0.003035574
288.02,0.003076211
288.98,0.003138199
289.94,0.003185912
290.91,0.003186322
291.87,0.003169862
292.84,0.00315657
293.8,0.003161256
294.76,0.003196124
295.73,0.00326003
296.69,0.003319199
297.66,0.00337894
298.62,0.003442395
299.59,0.003525428
300.55,0.003586456
301.51,0.003594003
302.48,0.003591131
303.44,0.003589693
304.41,0.003581177
305.37,0.003540364
306.34,0.003515205
307.3,0.003534251
308.26,0.003594669
309.23,0.003679151
310.19,0.00376232
311.16,0.003820738
312.12,0.003859235
313.09,0.003890726
314.05,0.0039333
315.01,0.004005824
315.98,0.004080878
316.94,0.00412818
317.91,0.00414958
318.87,0.004148153
319.83,0.004123772
320.8,0.004106804
321.76,0.004143038
322.73,0.004210376
323.69,0.004285757
324.66,0.004336547
325.62,0.004385522
326.58,0.00443869
327.55,0.004484461
328.51,0.004524384
329.48,0.004570616
330.44,0.004638829
331.41,0.004717649
332.37,0.004802847
333.33,0.004896686
334.3,0.004999447
335.26,0.005094595
336.23,0.005170099
337.19,0.005241802
338.16,0.005334721
339.12,0.005465321
340.08,0.005648802
341.05,0.005821309
342.01,0.005948743
342.98,0.006037246
343.94,0.00609017
344.91,0.006111706
345.87,0.006160711
346.83,0.006282661
347.8,0.006452885
348.76,0.006643475
349.73,0.006820461
350.69,0.006970187
351.65,0.007099057
352.62,0.007204895
353.58,0.007300112
354.55,0.007402755
355.51,0.007545648
356.48,0.007714202
357.44,0.007894741
358.4,0.008074223
359.37,0.008239418
360.33,0.008371446
361.3,0.008465973
362.26,0.008567539
363.23,0.008679096
364.19,0.008784064
365.15,0.008855052
366.12,0.008942816
367.08,0.009091075
368.05,0.009268495
369.01,0.009434997
369.98,0.009562904
370.94,0.009679412
371.9,0.009813075
372.87,0.009952587
373.83,0.010092521
374.8,0.010240776
375.76,0.010382295
376.72,0.010500496
377.69,0.010639
378.65,0.010787609
379.62,0.010927625
380.58,0.011041157
381.55,0.011135951
382.51,0.011179102
383.47,0.011192612
384.44,0.011226161
385.4,0.01133897
386.37,0.011547611
387.33,0.011737008
388.3,0.011875048
389.26,0.011962912
390.22,0.012013092
391.19,0.012038311
392.15,0.012086007
393.12,0.012195614
394.08,0.012338691
395.05,0.01249061
396.01,0.012645465
396.97,0.012775177
397.94,0.012866808
398.9,0.012916593
399.87,0.012927482
400.83,0.012908818
401.79,0.012913512
402.76,0.012979315
403.72,0.013079383
404.69,0.013169611
405.65,0.013224978
406.62,0.013272789
407.58,0.013411793
408.54,0.013573089
409.51,0.013686755
410.47,0.013702545
411.44,0.013623047
412.4,0.013547816
413.37,0.013568378
414.33,0.013629741
415.29,0.013663582
416.26,0.013636747
417.22,0.013583991
418.19,0.013581311
419.15,0.013625541
420.12,0.013684239
421.08,0.01371728
422.04,0.013696541
423.01,0.013633279
423.97,0.013557522
424.94,0.013472882
425.9,0.013389933
426.86,0.013337817
427.83,0.013351757
428.79,0.013350737
429.76,0.013326611
430.72,0.013310446
431.69,0.013314763
432.65,0.013283344
433.61,0.013195713
434.58,0.013145954
435.54,0.013133695
436.51,0.013127414
437.47,0.013075895
438.44,0.012937764
439.4,0.012783237
440.36,0.012660578
441.33,0.012567348
442.29,0.01249114
443.26,0.012423639
444.22,0.012403761
445.19,0.012420412
446.15,0.012445791
447.11,0.012471115
448.08,0.012505919
449.04,0.012561965
450.01,0.012525764
450.97,0.01241442
451.93,0.012292933
452.9,0.012205101
453.86,0.012144417
454.83,0.012077186
455.79,0.012018503
456.76,0.011931237
457.72,0.011795515
458.68,0.011614429
459.65,0.01147375
460.61,0.011430687
461.58,0.011435459
462.54,0.011443016
463.51,0.011434596
464.47,0.011416035
465.43,0.011419845
466.4,0.011426985
467.36,0.011410982
468.33,0.011346013
469.29,0.011227897
470.26,0.011076437
471.22,0.01097303
472.18,0.010928275
473.15,0.010909828
474.11,0.01089419
475.08,0.010871934
476.04,0.010882445
477.01,0.010913204
477.97,0.010930318
478.93,0.010923828
479.9,0.010907274
480.86,0.01090711
481.83,0.0109308
482.79,0.010967828
483.75,0.010994643
484.72,0.010994379
485.68,0.010938853
486.65,0.01084191
487.61,0.010726806
488.58,0.01056971
489.54,0.010394091
490.5,0.010227825
491.47,0.01010954
492.43,0.010021677
493.4,0.009940424
494.36,0.00987947
495.33,0.009835862
496.29,0.009777586
497.25,0.00966932
498.22,0.009528669
499.18,0.009383421
500.15,0.009276698
501.11,0.009226316
502.08,0.009240203
503.04,0.009217977
504,0.00913065
504.97,0.009035745
505.93,0.008936416
506.9,0.0088403
507.86,0.008761582
508.82,0.008759006
509.79,0.008752774
510.75,0.008698581
511.72,0.008596413
512.68,0.008482383
513.65,0.008401075
514.61,0.008326521
515.57,0.008218082
516.54,0.008094253
517.5,0.007965846
518.47,0.007848097
519.43,0.007695759
520.4,0.007497588
521.36,0.007268088
522.32,0.007037342
523.29,0.006835817
524.25,0.006686273
525.22,0.006555041
526.18,0.006350524
527.15,0.00611443
528.11,0.00589617
529.07,0.005753678
530.04,0.005714499
531,0.005717473
531.97,0.005701073
532.93,0.005668988
533.89,0.005617243
534.86,0.00552233
535.82,0.00534092
536.79,0.00507243
537.75,0.004814378
538.72,0.004578702
539.68,0.004365454
540.64,0.004143249
541.61,0.003900196
542.57,0.003763178
543.54,0.003736992
544.5,0.003746546
545.47,0.003708113
546.43,0.003561178
547.39,0.003357261
548.36,0.003144305
549.32,0.002889955
550.29,0.002581772
551.25,0.002243759
552.22,0.001932602
553.18,0.001734128
554.14,0.00164501
555.11,0.00163321
556.07,0.001625483
557.04,0.001568315
558,0.00144908
558.96,0.001420177
559.93,0.001378667
560.89,0.001237401
561.86,0.0009873
562.82,0.000690259
563.79,0.00040435
564.75,0.000180028
565.71,5.12E-05
566.68,1.68E-06
567.64,1.10E-05
568.61,4.14E-05
569.57,9.32E-05
570.54,0.000123959
571.5,0.00013364
572.46,0.000143361
573.43,0.000174407
574.39,0.000239911
575.36,0.000271303
576.32,0.000259908
577.29,0.000274242
578.25,0.00031462
579.21,0.000359499
580.18,0.000374138
581.14,0.000445416
582.11,0.000621471
583.07,0.000837639
584.03,0.001037229
585,0.00118062
585.96,0.001258766
586.93,0.001288753
587.89,0.00132332
588.86,0.001406613
589.82,0.00159222
590.78,0.001885174
591.75,0.002246069
592.71,0.002452428
593.68,0.002588111
594.64,0.002724374
595.61,0.002883602
596.57,0.003065985
597.53,0.003271637
598.5,0.003464567
599.46,0.003603977
600.43,0.003712198
601.39,0.003829929
602.36,0.003975438
603.32,0.004130651
604.28,0.004318474
605.25,0.00461246
606.21,0.004994795
607.18,0.005351121
608.14,0.00557515
609.1,0.00563374
610.07,0.005724958
611.03,0.005941673
612,0.006205788
612.96,0.006428975
613.93,0.00657839
614.89,0.006756375
615.85,0.007108406
616.82,0.007480693
617.78,0.007821383
618.75,0.008116313
619.71,0.008393399
620.68,0.008657415
621.64,0.008855941
622.6,0.009002964
623.57,0.009136265
624.53,0.009284251
625.5,0.009456804
626.46,0.009668148
627.43,0.009971606
628.39,0.010300082
629.35,0.010557545
630.32,0.010738767
631.28,0.010910875
632.25,0.011175756
633.21,0.011616355
634.18,0.012083068
635.14,0.012468487
636.1,0.012747794
637.07,0.012920624
638.03,0.013030118
639,0.013194161
639.96,0.013521047
640.92,0.013947753
641.89,0.014351481
642.85,0.014637637
643.82,0.014796042
644.78,0.014929854
645.75,0.015104117
646.71,0.015358582
647.67,0.015748946
648.64,0.016246044
649.6,0.016719665
650.57,0.016953809
651.53,0.017102906
652.5,0.017293067
653.46,0.017503769
654.42,0.017725331
655.39,0.017993538
656.35,0.01839969
657.32,0.018838076
658.28,0.019190894
659.25,0.019483914
660.21,0.019736588
661.17,0.019974676
662.14,0.020188092
663.1,0.020494625
664.07,0.020848965
665.03,0.02117311
665.99,0.021436145
666.96,0.021638091
667.92,0.021814281
668.89,0.022001767
669.85,0.022189489
670.82,0.022383255
671.78,0.022577323
672.74,0.022771958
673.71,0.02294646
674.67,0.022994715
675.64,0.022969457
676.6,0.022985927
677.57,0.023103319
678.53,0.023268362
679.49,0.023311611
680.46,0.023030448
681.42,0.022801092
682.39,0.022726117
683.35,0.022746727
684.32,0.022799823
685.28,0.022847282
686.24,0.022808657
687.21,0.022640662
688.17,0.022455415
689.14,0.022318382
690.1,0.022240053
691.06,0.022193899
692.03,0.022131483
692.99,0.022013866
693.96,0.021786864
694.92,0.021487489
695.89,0.021203706
696.85,0.021061162
697.81,0.021077493
698.78,0.021044465
699.74,0.020856445
700.71,0.020601591
701.67,0.020373147
702.64,0.020210658
703.6,0.020130514
704.56,0.020189116
705.53,0.020359621
706.49,0.020507954
707.46,0.020606648
708.42,0.02071652
709.39,0.020939192
710.35,0.02127467
711.31,0.021414078
712.28,0.021322815
713.24,0.02123645
714.21,0.021325467
715.17,0.021584564
716.13,0.021787668
717.1,0.021752529
718.06,0.021796752
719.03,0.02202402
719.99,0.022343195
720.96,0.022617772
721.92,0.022772342
722.88,0.022887068
723.85,0.022979309
724.81,0.023054147
725.78,0.023187247
726.74,0.023418726
727.71,0.023720788
728.67,0.023924712
729.63,0.023989518
730.6,0.024095565
731.56,0.024259909
732.53,0.024477656
733.49,0.024736634
734.46,0.025002522
735.42,0.025186651
736.38,0.025277035
737.35,0.025403337
738.31,0.025659459
739.28,0.026052718
740.24,0.026494212
741.2,0.026842077
742.17,0.027090303
743.13,0.027404299
744.1,0.027785133
745.06,0.028142893
746.03,0.028406314
746.99,0.028592131
747.95,0.028772469
748.92,0.02876724
749.88,0.028779555
750.85,0.028900706
751.81,0.029082219
752.78,0.029210025
753.74,0.029362039
754.7,0.029599333
755.67,0.029764717
756.63,0.029820489
757.6,0.029785171
758.56,0.029682014
759.53,0.029542098
760.49,0.029413423
761.45,0.029339454
762.42,0.029259386
763.38,0.029129292
764.35,0.028943485
765.31,0.028670098
766.28,0.028241346
767.24,0.02777977
768.2,0.027353856
769.17,0.026914418
770.13,0.026429493
771.1,0.025887148
772.06,0.02533018
773.02,0.02481515
773.99,0.024292398
774.95,0.023692302
775.92,0.023002526
776.88,0.022266098
777.85,0.021514949
778.81,0.020716921
779.77,0.019846737
780.74,0.019037302
781.7,0.018301227
782.67,0.017550238
783.63,0.01673946
784.6,0.015862418
785.56,0.01492506
786.52,0.014055095
787.49,0.013316975
788.45,0.012685482
789.42,0.012116306
790.38,0.011551759
791.35,0.010940307
792.31,0.01029468
793.27,0.00966643
794.24,0.009081555
795.2,0.008501322
796.17,0.007899803
797.13,0.007244458
798.09,0.00654795
799.06,0.005940645
800.02,0.005481761
800.99,0.005152309
801.95,0.004893956
802.92,0.004654467
803.88,0.004433991
804.84,0.004285263
805.81,0.004096474
806.77,0.00386754
807.74,0.003651086
808.7,0.003480392
809.67,0.003362177
810.63,0.003237019
811.59,0.003058272
812.56,0.002912236
813.52,0.002805857
814.49,0.002719132
815.45,0.002652299
816.42,0.002658915
817.38,0.002799854
818.34,0.002941211
819.31,0.003076188
820.27,0.003272294
821.24,0.003489177
822.2,0.00367971
823.16,0.003816631
824.13,0.003919983
825.09,0.003955781
826.06,0.003910012
827.02,0.003843723
827.99,0.003824929
828.95,0.003908597
829.91,0.004101965
830.88,0.004357501
831.84,0.004600103
832.81,0.004843367
833.77,0.005142414
834.74,0.005421619
835.7,0.005549834
836.66,0.00549872
837.63,0.005558159
838.59,0.005874238
839.56,0.006170369
840.52,0.006328345
